Region,Label
1,
2,
4,
6,
7,
9,
10,
11,
12,
14,
15,
16,
18,
19,
20,
21,
22,
23,
24,
26,
27,
28,
29,
30,
31,
32,
34,
35,
36,
37,
40,
41,
42,
43,
44,
45,
1001,
1002,
